Infinitive,возвести́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возвести́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возвещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возвести́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возвести́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возвещу́
2nd Sing,возвести́шь
3rd Sing,возвести́т
1st Pl,возвести́м
2nd Pl,возвести́те
3rd Pl,возвестя́т
Past M,возвести́л
Past F,возвести́ла
Past N,возвести́ло
Past PL,возвести́ли
Imp S,возвести́
Imp PL,возвести́те
