Infinitive,возмути́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возмути́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возмущённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возмути́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возмути́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возмущу́
2nd Sing,возмути́шь
3rd Sing,возмути́т
1st Pl,возмути́м
2nd Pl,возмути́те
3rd Pl,возмутя́т
Past M,возмути́л
Past F,возмути́ла
Past N,возмути́ло
Past PL,возмути́ли
Imp S,возмути́
Imp PL,возмути́те
