Infinitive,вознести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вознёсший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вознесённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вознеся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вознёсши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вознесу́
2nd Sing,вознесёшь
3rd Sing,вознесёт
1st Pl,вознесём
2nd Pl,вознесёте
3rd Pl,вознесу́т
Past M,вознёс
Past F,вознесла́
Past N,вознесло́
Past PL,вознесли́
Imp S,вознеси́
Imp PL,вознеси́те
