Infinitive,возобнови́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возобнови́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возобновлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возобнови́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возобнови́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возобновлю́
2nd Sing,возобнови́шь
3rd Sing,возобнови́т
1st Pl,возобнови́м
2nd Pl,возобнови́те
3rd Pl,возобновя́т
Past M,возобнови́л
Past F,возобнови́ла
Past N,возобнови́ло
Past PL,возобнови́ли
Imp S,возобнови́
Imp PL,возобнови́те
