Infinitive,воспрети́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,воспрети́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воспрещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воспрети́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,воспрети́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,воспрещу́
2nd Sing,воспрети́шь
3rd Sing,воспрети́т
1st Pl,воспрети́м
2nd Pl,воспрети́те
3rd Pl,воспретя́т
Past M,воспрети́л
Past F,воспрети́ла
Past N,воспрети́ло
Past PL,воспрети́ли
Imp S,воспрети́
Imp PL,воспрети́те
