Infinitive,возвыша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,возвыша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,возвыша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возвыша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,возвыша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возвыша́юсь
2nd Sing,возвыша́ешься
3rd Sing,возвыша́ется
1st Pl,возвыша́емся
2nd Pl,возвыша́етесь
3rd Pl,возвыша́ются
Past M,возвыша́лся
Past F,возвыша́лась
Past N,возвыша́лось
Past PL,возвыша́лись
Imp S,возвыша́йся
Imp PL,возвыша́йтесь
