Infinitive,воскре́снуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,воскре́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,воскре́снувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воскре́снув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,воскре́сши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,воскре́сну
2nd Sing,воскре́снешь
3rd Sing,воскре́снет
1st Pl,воскре́снем
2nd Pl,воскре́снете
3rd Pl,воскре́снут
Past M,воскре́с
Past F,воскре́сла
Past N,воскре́сло
Past PL,воскре́сли
Imp S,воскре́сни
Imp PL,воскре́сните
