Infinitive,возраста́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,возраста́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,возраста́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возраста́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,возраста́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,возраста́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,возраста́ю
2nd Sing,возраста́ешь
3rd Sing,возраста́ет
1st Pl,возраста́ем
2nd Pl,возраста́ете
3rd Pl,возраста́ют
Past M,возраста́л
Past F,возраста́ла
Past N,возраста́ло
Past PL,возраста́ли
Imp S,возраста́й
Imp PL,возраста́йте
