Infinitive,возопи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,возопи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возопи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,возопи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,возоплю́
2nd Sing,возопи́шь
3rd Sing,возопи́т
1st Pl,возопи́м
2nd Pl,возопи́те
3rd Pl,возопя́т
Past M,возопи́л
Past F,возопи́ла
Past N,возопи́ло
Past PL,возопи́ли
Imp S,возопи́
Imp PL,возопи́те
