Infinitive,ворча́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ворча́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ворча́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ворча́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ворча́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ворча́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ворчу́
2nd Sing,ворчи́шь
3rd Sing,ворчи́т
1st Pl,ворчи́м
2nd Pl,ворчи́те
3rd Pl,ворча́т
Past M,ворча́л
Past F,ворча́ла
Past N,ворча́ло
Past PL,ворча́ли
Imp S,ворчи́
Imp PL,ворчи́те
