Infinitive,воплоти́ться
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,воплоти́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воплоти́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,воплощу́сь
2nd Sing,воплоти́шься
3rd Sing,воплоти́тся
1st Pl,воплоти́мся
2nd Pl,воплоти́тесь
3rd Pl,воплотя́тся
Past M,воплоти́лся
Past F,воплоти́лась
Past N,воплоти́лось
Past PL,воплоти́лись
Imp S,воплоти́сь
Imp PL,воплоти́тесь
