Infinitive,вооружи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вооружи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вооружённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вооружи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вооружи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вооружу́
2nd Sing,вооружи́шь
3rd Sing,вооружи́т
1st Pl,вооружи́м
2nd Pl,вооружи́те
3rd Pl,вооружа́т
Past M,вооружи́л
Past F,вооружи́ла
Past N,вооружи́ло
Past PL,вооружи́ли
Imp S,вооружи́
Imp PL,вооружи́те
