Infinitive,воссоздава́ть
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,воссоздаю́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,воссоздава́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воссоздава́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,воссоздава́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,воссоздава́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,воссоздава́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,воссоздаю́
2nd Sing,воссоздаёшь
3rd Sing,воссоздаёт
1st Pl,воссоздаём
2nd Pl,воссоздаёте
3rd Pl,воссоздаю́т
Past M,воссоздава́л
Past F,воссоздава́ла
Past N,воссоздава́ло
Past PL,воссоздава́ли
Imp S,воссоздава́й
Imp PL,воссоздава́йте
