Infinitive,возни́кнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,возни́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,возни́кнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возни́кнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возни́кши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возни́кну
2nd Sing,возни́кнешь
3rd Sing,возни́кнет
1st Pl,возни́кнем
2nd Pl,возни́кнете
3rd Pl,возни́кнут
Past M,возни́к
Past F,возни́кла
Past N,возни́кло
Past PL,возни́кли
Imp S,возни́кни
Imp PL,возни́кните
