Infinitive,вороти́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вороти́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вороти́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ворочу́сь
2nd Sing,воро́тишься
3rd Sing,воро́тится
1st Pl,воро́тимся
2nd Pl,воро́титесь
3rd Pl,воро́тятся
Past M,вороти́лся
Past F,вороти́лась
Past N,вороти́лось
Past PL,вороти́лись
Imp S,вороти́сь
Imp PL,вороти́тесь
