Infinitive,восстанови́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,восстанови́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,восстанови́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,восстановлю́сь
2nd Sing,восстано́вишься
3rd Sing,восстано́вится
1st Pl,восстано́вимся
2nd Pl,восстано́витесь
3rd Pl,восстано́вятся
Past M,восстанови́лся
Past F,восстанови́лась
Past N,восстанови́лось
Past PL,восстанови́лись
Imp S,восстанови́сь
Imp PL,восстанови́тесь
