Infinitive,воскли́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,воскли́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воскли́кнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,воскли́кнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,воскли́кну
2nd Sing,воскли́кнешь
3rd Sing,воскли́кнет
1st Pl,воскли́кнем
2nd Pl,воскли́кнете
3rd Pl,воскли́кнут
Past M,воскли́кнул
Past F,воскли́кнула
Past N,воскли́кнуло
Past PL,воскли́кнули
Imp S,воскли́кни
Imp PL,воскли́кните
