Infinitive,возобнови́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,возобнови́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возобнови́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,возобновлю́сь
2nd Sing,возобнови́шься
3rd Sing,возобнови́тся
1st Pl,возобнови́мся
2nd Pl,возобнови́тесь
3rd Pl,возобновя́тся
Past M,возобнови́лся
Past F,возобнови́лась
Past N,возобнови́лось
Past PL,возобнови́лись
Imp S,возобнови́сь
Imp PL,возобнови́тесь
