Infinitive,воспе́ть
Zaliznyak Class,12b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,воспе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воспе́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воспе́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,воспе́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,воспою́
2nd Sing,воспоёшь
3rd Sing,воспоёт
1st Pl,воспоём
2nd Pl,воспоёте
3rd Pl,воспою́т
Past M,воспе́л
Past F,воспе́ла
Past N,воспе́ло
Past PL,воспе́ли
Imp S,воспо́й
Imp PL,воспо́йте
