Infinitive,восклица́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,восклица́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,восклица́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,восклица́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,восклица́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,восклица́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,восклица́ю
2nd Sing,восклица́ешь
3rd Sing,восклица́ет
1st Pl,восклица́ем
2nd Pl,восклица́ете
3rd Pl,восклица́ют
Past M,восклица́л
Past F,восклица́ла
Past N,восклица́ло
Past PL,восклица́ли
Imp S,восклица́й
Imp PL,восклица́йте
