Infinitive,восприня́ть
Zaliznyak Class,14c/c①
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,восприня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воспри́нятый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,восприня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,восприня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,восприму́
2nd Sing,воспри́мешь
3rd Sing,воспри́мет
1st Pl,воспри́мем
2nd Pl,воспри́мете
3rd Pl,воспри́мут
Past M,воспри́нял
Past F,восприняла́
Past N,воспри́няло
Past PL,воспри́няли
Imp S,восприми́
Imp PL,восприми́те
