Infinitive,вооружи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вооружи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вооружи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вооружу́сь
2nd Sing,вооружи́шься
3rd Sing,вооружи́тся
1st Pl,вооружи́мся
2nd Pl,вооружи́тесь
3rd Pl,вооружа́тся
Past M,вооружи́лся
Past F,вооружи́лась
Past N,вооружи́лось
Past PL,вооружи́лись
Imp S,вооружи́сь
Imp PL,вооружи́тесь
