Infinitive,возвы́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возвы́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возвы́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возвы́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возвы́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возвы́шу
2nd Sing,возвы́сишь
3rd Sing,возвы́сит
1st Pl,возвы́сим
2nd Pl,возвы́сите
3rd Pl,возвы́сят
Past M,возвы́сил
Past F,возвы́сила
Past N,возвы́сило
Past PL,возвы́сили
Imp S,возвы́сь
Imp PL,возвы́сьте
