Infinitive,воспо́лнить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,воспо́лнивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воспо́лненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воспо́лнив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,воспо́лнивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,воспо́лню
2nd Sing,воспо́лнишь
3rd Sing,воспо́лнит
1st Pl,воспо́лним
2nd Pl,воспо́лните
3rd Pl,воспо́лнят
Past M,воспо́лнил
Past F,воспо́лнила
Past N,воспо́лнило
Past PL,воспо́лнили
Imp S,воспо́лни
Imp PL,воспо́лните
