Infinitive,возгла́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возгла́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возгла́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возгла́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возгла́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возгла́влю
2nd Sing,возгла́вишь
3rd Sing,возгла́вит
1st Pl,возгла́вим
2nd Pl,возгла́вите
3rd Pl,возгла́вят
Past M,возгла́вил
Past F,возгла́вила
Past N,возгла́вило
Past PL,возгла́вили
Imp S,возгла́вь
Imp PL,возгла́вьте
