Infinitive,возрожда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,возрожда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,возрожда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возрожда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,возрожда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возрожда́юсь
2nd Sing,возрожда́ешься
3rd Sing,возрожда́ется
1st Pl,возрожда́емся
2nd Pl,возрожда́етесь
3rd Pl,возрожда́ются
Past M,возрожда́лся
Past F,возрожда́лась
Past N,возрожда́лось
Past PL,возрожда́лись
Imp S,возрожда́йся
Imp PL,возрожда́йтесь
