Infinitive,возлежа́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,возлежа́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,возлежа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возлежа́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,возлежа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,возлежа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,возлежу́
2nd Sing,возлежи́шь
3rd Sing,возлежи́т
1st Pl,возлежи́м
2nd Pl,возлежи́те
3rd Pl,возлежа́т
Past M,возлежа́л
Past F,возлежа́ла
Past N,возлежа́ло
Past PL,возлежа́ли
Imp S,возлежи́
Imp PL,возлежи́те
