Infinitive,возрасти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,возро́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возро́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,возрасту́
2nd Sing,возрастёшь
3rd Sing,возрастёт
1st Pl,возрастём
2nd Pl,возрастёте
3rd Pl,возрасту́т
Past M,возро́с
Past F,возросла́
Past N,возросло́
Past PL,возросли́
Imp S,возрасти́vozrastí
Imp PL,возрасти́те
