Infinitive,вози́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,возя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вози́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вози́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вожу́сь
2nd Sing,во́зишься
3rd Sing,во́зится
1st Pl,во́зимся
2nd Pl,во́зитесь
3rd Pl,во́зятся
Past M,вози́лся
Past F,вози́лась
Past N,вози́лось
Past PL,вози́лись
Imp S,вози́сь
Imp PL,вози́тесь
