Infinitive,воспи́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,воспи́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,воспи́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воспи́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,воспи́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,воспи́тываюсь
2nd Sing,воспи́тываешься
3rd Sing,воспи́тывается
1st Pl,воспи́тываемся
2nd Pl,воспи́тываетесь
3rd Pl,воспи́тываются
Past M,воспи́тывался
Past F,воспи́тывалась
Past N,воспи́тывалось
Past PL,воспи́тывались
Imp S,воспи́тывайся
Imp PL,воспи́тывайтесь
