Infinitive,воскреси́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,воскреси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воскрешённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воскреси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,воскреси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,воскрешу́
2nd Sing,воскреси́шь
3rd Sing,воскреси́т
1st Pl,воскреси́м
2nd Pl,воскреси́те
3rd Pl,воскреся́т
Past M,воскреси́л
Past F,воскреси́ла
Past N,воскреси́ло
Past PL,воскреси́ли
Imp S,воскреси́
Imp PL,воскреси́те
