Infinitive,возлага́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,возлага́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,возлага́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возлага́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,возлага́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возлага́юсь
2nd Sing,возлага́ешься
3rd Sing,возлага́ется
1st Pl,возлага́емся
2nd Pl,возлага́етесь
3rd Pl,возлага́ются
Past M,возлага́лся
Past F,возлага́лась
Past N,возлага́лось
Past PL,возлага́лись
Imp S,возлага́йся
Imp PL,возлага́йтесь
