Infinitive,воззри́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,воззри́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воззри́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,воззрю́сь
2nd Sing,воззри́шься
3rd Sing,воззри́тся
1st Pl,воззри́мся
2nd Pl,воззри́тесь
3rd Pl,воззря́тся
Past M,воззри́лся
Past F,воззри́лась
Past N,воззри́лось
Past PL,воззри́лись
Imp S,воззри́сь
Imp PL,воззри́тесь
