Infinitive,вонзи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вонзи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вонзи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вонжу́сь
2nd Sing,вонзи́шься
3rd Sing,вонзи́тся
1st Pl,вонзи́мся
2nd Pl,вонзи́тесь
3rd Pl,вонзя́тся
Past M,вонзи́лся
Past F,вонзи́лась
Past N,вонзи́лось
Past PL,вонзи́лись
Imp S,вонзи́сь
Imp PL,вонзи́тесь
