Infinitive,возбужда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,возбужда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,возбужда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возбужда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,возбужда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возбужда́юсь
2nd Sing,возбужда́ешься
3rd Sing,возбужда́ется
1st Pl,возбужда́емся
2nd Pl,возбужда́етесь
3rd Pl,возбужда́ются
Past M,возбужда́лся
Past F,возбужда́лась
Past N,возбужда́лось
Past PL,возбужда́лись
Imp S,возбужда́йся
Imp PL,возбужда́йтесь
