Infinitive,волочи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,волоча́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,волочи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,волоча́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,волочи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,волочу́сь
2nd Sing,воло́чишься
3rd Sing,воло́чится
1st Pl,воло́чимся
2nd Pl,воло́читесь
3rd Pl,воло́чатся
Past M,волочи́лся
Past F,волочи́лась
Past N,волочи́лось
Past PL,волочи́лись
Imp S,волочи́сь
Imp PL,волочи́тесь
