Infinitive,востре́бовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,востре́бовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,востре́бованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,востре́бовав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,востре́бовавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,востре́бую
2nd Sing,востре́буешь
3rd Sing,востре́бует
1st Pl,востре́буем
2nd Pl,востре́буете
3rd Pl,востре́буют
Past M,востре́бовал
Past F,востре́бовала
Past N,востре́бовало
Past PL,востре́бовали
Imp S,востре́буй
Imp PL,востре́буйте
