Infinitive,возде́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возде́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возде́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возде́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возде́ну
2nd Sing,возде́нешь
3rd Sing,возде́нет
1st Pl,возде́нем
2nd Pl,возде́нете
3rd Pl,возде́нут
Past M,возде́л
Past F,возде́ла
Past N,возде́ло
Past PL,возде́ли
Imp S,возде́нь
Imp PL,возде́ньте
