Infinitive,вовле́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вовлёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вовлечённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вовлёкши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вовлеку́
2nd Sing,вовлечёшь
3rd Sing,вовлечёт
1st Pl,вовлечём
2nd Pl,вовлечёте
3rd Pl,вовлеку́т
Past M,вовлёк
Past F,вовлекла́
Past N,вовлекло́
Past PL,вовлекли́
Imp S,вовлеки́
Imp PL,вовлеки́те
