Infinitive,води́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,водя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,води́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,водя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,води́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вожу́сь
2nd Sing,во́дишься
3rd Sing,во́дится
1st Pl,во́димся
2nd Pl,во́дитесь
3rd Pl,во́дятся
Past M,води́лся
Past F,води́лась
Past N,води́лось
Past PL,води́лись
Imp S,води́сь
Imp PL,води́тесь
