Infinitive,воткну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,воткну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,во́ткнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воткну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,воткну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,воткну́
2nd Sing,воткнёшь
3rd Sing,воткнёт
1st Pl,воткнём
2nd Pl,воткнёте
3rd Pl,воткну́т
Past M,воткну́л
Past F,воткну́ла
Past N,воткну́ло
Past PL,воткну́ли
Imp S,воткни́
Imp PL,воткни́те
