Infinitive,возврати́ться
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,возврати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возврати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,возвращу́сь
2nd Sing,возврати́шься
3rd Sing,возврати́тся
1st Pl,возврати́мся
2nd Pl,возврати́тесь
3rd Pl,возвратя́тся
Past M,возврати́лся
Past F,возврати́лась
Past N,возврати́лось
Past PL,возврати́лись
Imp S,возврати́сь
Imp PL,возврати́тесь
