Infinitive,восхваля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,восхваля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,восхваля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,восхваля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,восхваля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,восхваля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,восхваля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,восхваля́ю
2nd Sing,восхваля́ешь
3rd Sing,восхваля́ет
1st Pl,восхваля́ем
2nd Pl,восхваля́ете
3rd Pl,восхваля́ют
Past M,восхваля́л
Past F,восхваля́ла
Past N,восхваля́ло
Past PL,восхваля́ли
Imp S,восхваля́й
Imp PL,восхваля́йте
