Infinitive,возмести́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возмести́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возмещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возмести́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возмести́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возмещу́
2nd Sing,возмести́шь
3rd Sing,возмести́т
1st Pl,возмести́м
2nd Pl,возмести́те
3rd Pl,возместя́т
Past M,возмести́л
Past F,возмести́ла
Past N,возмести́ло
Past PL,возмести́ли
Imp S,возмести́
Imp PL,возмести́те
