Infinitive,воодушевля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,воодушевля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,воодушевля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воодушевля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,воодушевля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,воодушевля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,воодушевля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,воодушевля́ю
2nd Sing,воодушевля́ешь
3rd Sing,воодушевля́ет
1st Pl,воодушевля́ем
2nd Pl,воодушевля́ете
3rd Pl,воодушевля́ют
Past M,воодушевля́л
Past F,воодушевля́ла
Past N,воодушевля́ло
Past PL,воодушевля́ли
Imp S,воодушевля́й
Imp PL,воодушевля́йте
