Infinitive,воркова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ворку́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,воркова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ворку́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,воркова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,воркова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ворку́ю
2nd Sing,ворку́ешь
3rd Sing,ворку́ет
1st Pl,ворку́ем
2nd Pl,ворку́ете
3rd Pl,ворку́ют
Past M,воркова́л
Past F,воркова́ла
Past N,воркова́ло
Past PL,воркова́ли
Imp S,ворку́й
Imp PL,ворку́йте
