Infinitive,воспринима́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,воспринима́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,воспринима́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воспринима́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,воспринима́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,воспринима́юсь
2nd Sing,воспринима́ешься
3rd Sing,воспринима́ется
1st Pl,воспринима́емся
2nd Pl,воспринима́етесь
3rd Pl,воспринима́ются
Past M,воспринима́лся
Past F,воспринима́лась
Past N,воспринима́лось
Past PL,воспринима́лись
Imp S,воспринима́йся
Imp PL,воспринима́йтесь
