Infinitive,возрази́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,возрази́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возрази́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,возрази́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,возражу́
2nd Sing,возрази́шь
3rd Sing,возрази́т
1st Pl,возрази́м
2nd Pl,возрази́те
3rd Pl,возразя́т
Past M,возрази́л
Past F,возрази́ла
Past N,возрази́ло
Past PL,возрази́ли
Imp S,возрази́
Imp PL,возрази́те
