Infinitive,восстава́ть
Zaliznyak Class,13b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,восстаю́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,восстава́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,восстава́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,восстава́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,восстава́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,восстаю́
2nd Sing,восстаёшь
3rd Sing,восстаёт
1st Pl,восстаём
2nd Pl,восстаёте
3rd Pl,восстаю́т
Past M,восстава́л
Past F,восстава́ла
Past N,восстава́ло
Past PL,восстава́ли
Imp S,восстава́й
Imp PL,восстава́йте
