Infinitive,вовлека́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вовлека́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вовлека́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вовлека́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вовлека́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,вовлека́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,вовлека́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,вовлека́ю
2nd Sing,вовлека́ешь
3rd Sing,вовлека́ет
1st Pl,вовлека́ем
2nd Pl,вовлека́ете
3rd Pl,вовлека́ют
Past M,вовлека́л
Past F,вовлека́ла
Past N,вовлека́ло
Past PL,вовлека́ли
Imp S,вовлека́й
Imp PL,вовлека́йте
