Infinitive,восхити́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,восхити́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,восхищённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,восхити́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,восхити́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,восхищу́
2nd Sing,восхити́шь
3rd Sing,восхити́т
1st Pl,восхити́м
2nd Pl,восхити́те
3rd Pl,восхитя́т
Past M,восхити́л
Past F,восхити́ла
Past N,восхити́ло
Past PL,восхити́ли
Imp S,восхити́
Imp PL,восхити́те
