Infinitive,воро́чаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,воро́чающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,воро́чавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воро́чаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,воро́чавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,воро́чаюсь
2nd Sing,воро́чаешься
3rd Sing,воро́чается
1st Pl,воро́чаемся
2nd Pl,воро́чаетесь
3rd Pl,воро́чаются
Past M,воро́чался
Past F,воро́чалась
Past N,воро́чалось
Past PL,воро́чались
Imp S,воро́чайся
Imp PL,воро́чайтесь
