Infinitive,воспроти́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,воспроти́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воспроти́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,воспроти́влюсь
2nd Sing,воспроти́вишься
3rd Sing,воспроти́вится
1st Pl,воспроти́вимся
2nd Pl,воспроти́витесь
3rd Pl,воспроти́вятся
Past M,воспроти́вился
Past F,воспроти́вилась
Past N,воспроти́вилось
Past PL,воспроти́вились
Imp S,воспроти́вься
Imp PL,воспроти́вьтесь
