Infinitive,возобновля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,возобновля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,возобновля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возобновля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,возобновля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возобновля́юсь
2nd Sing,возобновля́ешься
3rd Sing,возобновля́ется
1st Pl,возобновля́емся
2nd Pl,возобновля́етесь
3rd Pl,возобновля́ются
Past M,возобновля́лся
Past F,возобновля́лась
Past N,возобновля́лось
Past PL,возобновля́лись
Imp S,возобновля́йся
Imp PL,возобновля́йтесь
