Infinitive,возлюби́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,возлюби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возлю́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,возлюби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,возлюби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,возлюблю́
2nd Sing,возлю́бишь
3rd Sing,возлю́бит
1st Pl,возлю́бим
2nd Pl,возлю́бите
3rd Pl,возлю́бят
Past M,возлюби́л
Past F,возлюби́ла
Past N,возлюби́ло
Past PL,возлюби́ли
Imp S,возлюби́
Imp PL,возлюби́те
