Infinitive,воссозда́ть
Zaliznyak Class,irreg-b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,воссозда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,воссо́зданный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,воссозда́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,воссозда́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,воссозда́м
2nd Sing,воссозда́шь
3rd Sing,воссозда́ст
1st Pl,воссоздади́м
2nd Pl,воссоздади́те
3rd Pl,воссоздаду́т
Past M,воссозда́л
Past F,воссоздала́
Past N,воссозда́ло
Past PL,воссозда́ли
Imp S,воссозда́й
Imp PL,воссозда́йте
