Infinitive,восседа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,восседа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,восседа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,восседа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,восседа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,восседа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,восседа́ю
2nd Sing,восседа́ешь
3rd Sing,восседа́ет
1st Pl,восседа́ем
2nd Pl,восседа́ете
3rd Pl,восседа́ют
Past M,восседа́л
Past F,восседа́ла
Past N,восседа́ло
Past PL,восседа́ли
Imp S,восседа́й
Imp PL,восседа́йте
