Infinitive,возроди́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,возроди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возроди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,возрожу́сь
2nd Sing,возроди́шься
3rd Sing,возроди́тся
1st Pl,возроди́мся
2nd Pl,возроди́тесь
3rd Pl,возродя́тся
Past M,возроди́лся
Past F,возроди́лась
Past N,возроди́лось
Past PL,возроди́лись
Imp S,возроди́сь
Imp PL,возроди́тесь
