Infinitive,вонзи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вонзи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вонзённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вонзи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вонзи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вонжу́
2nd Sing,вонзи́шь
3rd Sing,вонзи́т
1st Pl,вонзи́м
2nd Pl,вонзи́те
3rd Pl,вонзя́т
Past M,вонзи́л
Past F,вонзи́ла
Past N,вонзи́ло
Past PL,вонзи́ли
Imp S,вонзи́
Imp PL,вонзи́те
