Infinitive,возмути́ться
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,возмути́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,возмути́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,возмущу́сь
2nd Sing,возмути́шься
3rd Sing,возмути́тся
1st Pl,возмути́мся
2nd Pl,возмути́тесь
3rd Pl,возмутя́тся
Past M,возмути́лся
Past F,возмути́лась
Past N,возмути́лось
Past PL,возмути́лись
Imp S,возмути́сь
Imp PL,возмути́тесь
