Infinitive,вовлека́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вовлека́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вовлека́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вовлека́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вовлека́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вовлека́юсь
2nd Sing,вовлека́ешься
3rd Sing,вовлека́ется
1st Pl,вовлека́емся
2nd Pl,вовлека́етесь
3rd Pl,вовлека́ются
Past M,вовлека́лся
Past F,вовлека́лась
Past N,вовлека́лось
Past PL,вовлека́лись
Imp S,вовлека́йся
Imp PL,вовлека́йтесь
