Infinitive,вобра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вобра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,во́бранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вобра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вобра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вберу́
2nd Sing,вберёшь
3rd Sing,вберёт
1st Pl,вберём
2nd Pl,вберёте
3rd Pl,вберу́т
Past M,вобра́л
Past F,вобрала́
Past N,вобра́ло
Past PL,вобра́ли
Imp S,вбери́
Imp PL,вбери́те
