Infinitive,восста́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,восста́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,восста́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,восста́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,восста́ну
2nd Sing,восста́нешь
3rd Sing,восста́нет
1st Pl,восста́нем
2nd Pl,восста́нете
3rd Pl,восста́нут
Past M,восста́л
Past F,восста́ла
Past N,восста́ло
Past PL,восста́ли
Imp S,восста́нь
Imp PL,восста́ньте
