Infinitive,вонза́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вонза́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вонза́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вонза́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вонза́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вонза́юсь
2nd Sing,вонза́ешься
3rd Sing,вонза́ется
1st Pl,вонза́емся
2nd Pl,вонза́етесь
3rd Pl,вонза́ются
Past M,вонза́лся
Past F,вонза́лась
Past N,вонза́лось
Past PL,вонза́лись
Imp S,вонза́йся
Imp PL,вонза́йтесь
